file,bytes,lines,blank_lines,headings,code_fences,links,has_∆DΩΛ
01_MANIFEST_and_OVERVIEW.md,1464,33,7,5,0,0,yes
02_CANON_and_PRINCIPLES.md,1029,31,5,4,0,0,yes
03_ARCHITECTURE_and_SYSTEM_DESIGN.md,742,23,5,4,0,0,yes
04_FACETS_VOICES_and_PROTOCOLS.md,629,22,5,4,0,0,yes
05_METRICS_and_RHYTHM_INDEX.md,528,19,4,3,0,0,yes
06_PHASES_STATES_PIPELINES.md,444,18,4,3,0,0,yes
07_MEMORY_SYSTEM.md,449,21,5,4,0,0,yes
11_FORMATS_TEMPLATES_STYLES.md,546,20,5,4,0,0,yes
15_TESTS_CHECKLISTS_VALIDATORS.md,659,23,5,4,0,0,yes
ARCHITECTURE.md,11340,306,63,27,12,0,yes
GRAPHRAG_SUPABASE_SETUP.md,10344,407,110,41,38,0,yes
MANTRA.md,1557,42,11,4,0,0,yes
README.md,9280,268,66,37,8,9,yes
SERVICES.md,9704,447,144,28,40,0,yes
SIFT_MULTI_STEP_GUIDE.md,12496,500,135,41,58,0,yes
index.md,2013,35,7,5,0,10,no
