task_id,variant_id,status,batch,source_task_sha256,candidate_task_sha256
10,V0424,DRAFT_REWRITTEN,batch01,a1e2734535712cd5918cd70fca1192dba67337070390aa8d8aeda893767faaee,390c6af06f0be69d448a96db1631950f1397a77814e359e6f8f2a6bb6a0889d9
13,V0378,DRAFT_REWRITTEN,batch01,dca6c1841ee0b831f4a993bc3289cb67148b5672161dcb26173e65fc3b8459d4,3360daab4999e499b8315550d0dfc1c902a7d3f17a8d44325be0f0bb60b7023e
14,V0784,DRAFT_REWRITTEN,batch01,adabcb53563885a69675ed458827dc084a05438cd60123018f82992f7802a190,893dd77c297e69c4e4d65bf69cff63dea4f97c629036c1a068eb3e06893280fd
17,V0296,DRAFT_REWRITTEN,batch01,0d133bef8c13816fe85cc4d9fe46c5569a2877a63e2099b537886ffec16d1b18,ec18ae817dae51cc57d3099ed7a7f5419b6468365b11c3343ad381991c373abf
18,V0592,DRAFT_REWRITTEN,batch01,0663c4d351b0b167bd50d87422bafeddecb49fa1c3a9393fa7ad2578b64a35b1,bf0c3bbb281fbbc62fb16d3d1795b296a39b175577db7cecf7f59b56641ff6ed
22,V0827,DRAFT_REWRITTEN,batch01,ecab88eb2dcfbfa72afe4a06294cdca66ccf342d56c87e44cf3517519d72d6cc,93ed1e84411d1aa0e466e8dc6364816cd2411c7e70a0b0a744fa994d2f9bf798
23,V0666,DRAFT_REWRITTEN,batch01,43722381b7f1f28560dce670b48c6a3016d7ee23b60f030968757c0a916d7b6a,27a7ae2c605a9788fb813ebd73acebbe6f255d8ab9b63d6afcb4aea0a0f75c98
25,V0261,DRAFT_REWRITTEN,batch01,54eff54be8a011748f88f9274f2911202f2941c4f961698368030284a78fd60b,1e5477cbf0397c4cb6c81ba3be3fb806b7f43b57ed460a33baf266c22f65c192
27,V0731,DRAFT_REWRITTEN,batch01,09f55ebe0f3eb17af3a094932cbeee36937ee36a4c854a95f3071b48d4840119,d46162dbfad49c13bfc7d524f306f2ae04e8a7c0adba918c17701235a0743416
28,V0637,DRAFT_REWRITTEN,batch01,34577aa0c4db5865aad996011820a2c3551dc58ac0c1b22a20bb90bd8f71cd4c,45cbd55d9398f850604ce084724a9bdf1921b3658c657c114b0c64fa4d8f1ec5
29,V0669,DRAFT_REWRITTEN,batch01,8ddb770b80b31e8ee3c4dd4158d2cae117f331c750e04f1732964534cf198e2c,751202fdca6166f5e3e76ed17eb2ea06529933d11f692e4130ae2435b01307e1
31,V0564,DRAFT_REWRITTEN,batch01,5796dd933dc5fa5f92fc1a182a8169fb9b3fcc8a0604b21e777a38257d6ef9f5,e26f561cdfbfb74e2a29a373a48c8d35a21a836c46ac60e34ed105417842d895
32,V0432,DRAFT_REWRITTEN,batch01,e2afec01c722dc925932c764cb628b4704fee163027b791cb666b64ff70ccdee,e3f8c5f6e37fe23e821cd35009311598c5d9aeac94201f592c4f463f923df0a1
36,V0565,DRAFT_REWRITTEN,batch01,aa6ba77b427ec686ac0e233a1e95199aceec350c99ce72a84e19f99bb9ec1648,927a837f4878856d308280e08faef5adb4b3948762339404f520ee11e1c0ab15
39,V0335,DRAFT_REWRITTEN,batch01,21ad772ab8b0e12d69f5b1fe65ccd0096062634b8b70a4e5b65583176d872946,3f59f2d9b5c2ff7aaaa7e972609af06a85d31741a0f6c1c33f1019a810982d3c
40,V0328,DRAFT_REWRITTEN,batch01,42f1822f019464e87affb1198edcf230e198e1b5feda6b854dae84c71704bdf0,a42b016f547b07cd7ac4926b1789b3cd59029669e71ec2debe5ef1260e5a2636
41,V0380,DRAFT_REWRITTEN,batch01,ddf00927f7fd2c36640ff10b6c09cf61b95b8687ee347a34b40fcdaeb33482a0,a2126d751a4a92753f9451b59da21de7e229a5d43e90362402d43b100f585cf7
42,V0752,DRAFT_REWRITTEN,batch01,5bdf8842526391903005366afc050df1811d4e73e69e1dc7424c01cbb905f8df,6723ea89fc0288a747e1ec0e4d3381aad44fad53a4ff7a06f1c085b1c2efcb0a
43,V0706,DRAFT_REWRITTEN,batch01,25447e0afa112613eed5a84c72cc5653ad89c9079d56ed50383ad61cad16e12a,8843eb7ee2e87f35e19e3cdbb152329d19413aa991de90448bae33ca9462e78f
45,V0230,DRAFT_REWRITTEN,batch01,0d0639cbca135556dd581232a5374e9dbe6501c290cb75d98bf3894d5f373564,7c2c10978906a228c9d5e526c025b3f565c5ee6ff113bc3fe55dc0c917d81196
47,V0844,DRAFT_REWRITTEN,batch01,adabcb53563885a69675ed458827dc084a05438cd60123018f82992f7802a190,14a1402660bd1e6689fe97045fec7de7c7054242d767c1e861afb0bb35c9868c
48,V0491,DRAFT_REWRITTEN,batch01,b6a9112a33c6b979df54b54952157fd58d13ad90c2cfabe5d35fc53215b67f3a,ca97a9b7ac5f4375b9f6ad5e80d5d883e2f132c0031ece0fc3e629d5a100b5d4
50,V0638,DRAFT_REWRITTEN,batch01,62e62ffd7afdfe3ca322e4c943d37b2deb12c8157aaa950c6babc2fbae5e8298,47c99487a664a9e66b2ec128aaa15a34007e9007c9bb4c8576048c5d36f87ef6
51,V0276,DRAFT_REWRITTEN,batch01,4b7173ee047bcff93e56d6f43c8b953982d7d1810d5b0d255cb432067fb83551,8d68fab7ef4aa8ea2ecb56e5501522726a4a6d04d4727f0757c54a8f849daf92
54,V0684,DRAFT_REWRITTEN,batch01,c57bccb0dc278e7e58380de9b2d3f468b885f52dcb352cc9f8560493d0dfe55d,de346acb017e11d2caae5e7e0d76cb015f9161f774bd1f50205bec84b1a4870a
55,V0952,DRAFT_REWRITTEN,batch01,8e0a4b1409cfee67ca5f0b800fb574393e6dffc41255ce5d082748a3e60db5f7,4cf556f53abb98d502fd671d0385e06c67c48dae8f2d551446890e17101c5091
58,V0211,DRAFT_REWRITTEN,batch01,79fa8b0b0ec510faefd5e1e6b58dd2d16cd04aab8e69a8f81ffea282c33be69c,1640a61165ca8830c933fed9b36304f2d2a7d5a193d25d0cb460d141389aa709
59,V0541,DRAFT_REWRITTEN,batch01,592ece52481f0b75322a9774136929845df918ede78d30e79641cdcf57bfa593,3997507f9f6d53ddb384cc989802616447b574201c5ecda1fe89ea08f3eb7742
62,V0911,DRAFT_REWRITTEN,batch01,e869407669f67a07cc0ed11bb98342f221d73f5ab9631bfc9c9f88b049f3a62e,be6697f68866057e5f8eaa56235b19f6520aa4ea5bd85fdee3ec769f0ab63e70
63,V0493,DRAFT_REWRITTEN,batch01,13346e3340c2e7d02ff55ef6639a04a3488317759f29f8870e996754fcffbc88,3feb0b5daf8a665fbe8eaf992a88d022db6facbce46ee5a972e284296bef59fc
66,V0904,DRAFT_REWRITTEN,batch01,0241c7ec6b118430e93082805fc622abb02dfca67ebee0dd5e2e595f48d4605d,519eac4bbcfb193d2a8185cabd18216305eb548f2106b529cb49c5ed2410314c
68,V0616,DRAFT_REWRITTEN,batch01,b880104230c6290e3b749c9f3c51366a25e6dface3fdd5a8c282c3af22e81b75,bf202a777e803f6df9038f7a841d4c7cdf31492181f421b45378273fbeff085b
71,V0198,DRAFT_REWRITTEN,batch01,fb17382f582fa93297f5d50fab2237e1fd97fbe9cf4b18c43c7b1c70aeebb471,433d1c69f53a33ef106494216e70244d830c58be11fca7406eab6fa816e21491
72,V0725,DRAFT_REWRITTEN,batch01,0e0a9d35c7db9e52b3ffb0803363e558918ed2f71f55130c93b27c58d3da8d8e,63b6eb8d090cecbdb88cf3d2b09a49b7575bb59b75809ba094777e75556a71b6
73,V0559,DRAFT_REWRITTEN,batch01,a2239d5e21d04ebf811bdd9ebab5ad7d677e5e1bdf6f777154beda23c18decdf,3e4e3458baba436c34ca64a5ea069fb985ad68c494a8be4aa8bc59611751ef03
74,V0573,DRAFT_REWRITTEN,batch01,cab3f305ed956c3ee6fe2aa2532bff6ed09eaa718d35e68efee960507160e51e,bd210cde3226bba2590766b82a6697005836a2347cd9bc4327833cb51d7b084b
78,V0886,DRAFT_REWRITTEN,batch01,ee076675e9912b172c0293f782cdca28714964c68d324f933b112625e9551d5a,680456929f493be349686adb9d7d6e71500d7b5ba64ac6a952bfe84f830ebf78
83,V0591,DRAFT_REWRITTEN,batch01,f01aa0971a2b3530c06bd5b2113f79e34e0476e756c4d5ae39d6b90b30da2bcf,2d908e3a94b84a24d4576116e3d8858080ad747d2568ac9a6282e8edef3f7919
85,V0206,DRAFT_REWRITTEN,batch01,5439b20a1b85fd28c6ca9522498133cc3b90d81b79bc1904a572a20226319245,86ffb03b0f20df438346073ea97a90de33d90546df30f8b98a5ad204a2bae147
86,V0932,DRAFT_REWRITTEN,batch01,f2cb1aa406435241522987be7488fb5ec5aeeea2c2983d28a7c87c72b0907d99,2aafc1dc6138deb76f7026f61b07d91762d54574901224a90c6c69662a01314d
88,V0585,DRAFT_REWRITTEN,batch01,52d3e736ea17b8fb0b42817428fbe17a833dd9210d6626a823bdb96aee61ad66,a0349e259060e776f2c80b934268287b21dffce97f212de9243d712139c686c8
